binary,mode,avg_time_sec
snippet1_O0,original,.0473586000
snippet1_O0,optimized,.0406444000
snippet2_O0,original,.0366408000
snippet2_O0,optimized,.0368036000
snippet3_O0,original,.0410810000
snippet3_O0,optimized,.0402440000
snippet4_O0,original,.0704352000
snippet4_O0,optimized,.1052538000
snippet5_O0,original,.0696394000
snippet5_O0,optimized,.0502436000
snippet6_O0,original,.0378066000
snippet6_O0,optimized,.0319184000
snippet7_O0,original,11.8384782000
snippet7_O0,optimized,8.3233036000
snippet1_O3,original,.0124828000
snippet1_O3,optimized,.0128666000
snippet2_O3,original,.0105398000
snippet2_O3,optimized,.0102872000
snippet3_O3,original,.0122454000
snippet3_O3,optimized,.0121074000
snippet4_O3,original,.0119948000
snippet4_O3,optimized,.0134470000
snippet5_O3,original,.0091090000
snippet5_O3,optimized,.0059262000
snippet6_O3,original,.0117952000
snippet6_O3,optimized,.0164674000
snippet7_O3,original,9.6811564000
snippet7_O3,optimized,1.5757586000
