binary,mode,avg_time_sec
snippet1_O0,original,.0119524000
snippet1_O0,optimized,.0104486000
snippet2_O0,original,.0207428000
snippet2_O0,optimized,.0087416000
snippet3_O0,original,.0154572000
snippet3_O0,optimized,.0101512000
snippet4_O0,original,.0184756000
snippet4_O0,optimized,.0282296000
snippet5_O0,original,.0337740000
snippet5_O0,optimized,.0254836000
snippet6_O0,original,.0166884000
snippet6_O0,optimized,.0080010000
snippet7_O0,original,2.6180814000
snippet7_O0,optimized,2.7625650000
snippet1_O3,original,.0034852000
snippet1_O3,optimized,.0038546000
snippet2_O3,original,.0031080000
snippet2_O3,optimized,.0032698000
snippet3_O3,original,.0033158000
snippet3_O3,optimized,.0029056000
snippet4_O3,original,.0037544000
snippet4_O3,optimized,.0020498000
snippet5_O3,original,.0016872000
snippet5_O3,optimized,.0005706000
snippet6_O3,original,.0017822000
snippet6_O3,optimized,.0026266000
snippet7_O3,original,1.1307712000
snippet7_O3,optimized,.6212462000
