flag=1 data=42
Iteration 0: flag=1, data=42
Iteration 1: flag=1, data=42
Iteration 2: flag=1, data=42
Iteration 3: flag=1, data=42
Iteration 4: flag=1, data=42
Iteration 5: flag=1, data=42
Iteration 6: flag=1, data=42
Iteration 7: flag=1, data=42
Iteration 8: flag=1, data=42
Iteration 9: flag=1, data=42
Iteration 10: flag=1, data=42
Iteration 11: flag=1, data=42
Iteration 12: flag=1, data=42
Iteration 13: flag=1, data=42
Iteration 14: flag=1, data=42
Iteration 15: flag=1, data=42
Iteration 16: flag=1, data=42
Iteration 17: flag=1, data=42
Iteration 18: flag=1, data=42
Iteration 19: flag=1, data=42
Iteration 20: flag=1, data=42
Iteration 21: flag=1, data=42
Iteration 22: flag=1, data=42
Iteration 23: flag=1, data=42
Iteration 24: flag=1, data=42
Iteration 25: flag=1, data=42
Iteration 26: flag=1, data=42
Iteration 27: flag=1, data=42
Iteration 28: flag=1, data=42
Iteration 29: flag=1, data=42
Iteration 30: flag=1, data=42
Iteration 31: flag=1, data=42
Iteration 32: flag=1, data=42
Iteration 33: flag=1, data=42
Iteration 34: flag=1, data=42
Iteration 35: flag=1, data=42
Iteration 36: flag=1, data=42
Iteration 37: flag=1, data=42
Iteration 38: flag=1, data=42
Iteration 39: flag=1, data=42
Iteration 40: flag=1, data=42
Iteration 41: flag=1, data=42
Iteration 42: flag=1, data=42
Iteration 43: flag=1, data=42
Iteration 44: flag=1, data=42
Iteration 45: flag=1, data=42
Iteration 46: flag=1, data=42
Iteration 47: flag=1, data=42
Iteration 48: flag=1, data=42
Iteration 49: flag=1, data=42
Iteration 50: flag=1, data=42
Iteration 51: flag=1, data=42
Iteration 52: flag=1, data=42
Iteration 53: flag=1, data=42
Iteration 54: flag=1, data=42
Iteration 55: flag=1, data=42
Iteration 56: flag=1, data=42
Iteration 57: flag=1, data=42
Iteration 58: flag=1, data=42
Iteration 59: flag=1, data=42
Iteration 60: flag=1, data=42
Iteration 61: flag=1, data=42
Iteration 62: flag=1, data=42
Iteration 63: flag=1, data=42
Iteration 64: flag=1, data=42
Iteration 65: flag=1, data=42
Iteration 66: flag=1, data=42
Iteration 67: flag=1, data=42
Iteration 68: flag=1, data=42
Iteration 69: flag=1, data=42
Iteration 70: flag=1, data=42
Iteration 71: flag=1, data=42
Iteration 72: flag=1, data=42
Iteration 73: flag=1, data=42
Iteration 74: flag=1, data=42
Iteration 75: flag=1, data=42
Iteration 76: flag=1, data=42
Iteration 77: flag=1, data=42
Iteration 78: flag=1, data=42
Iteration 79: flag=1, data=42
Iteration 80: flag=1, data=42
Iteration 81: flag=1, data=42
Iteration 82: flag=1, data=42
Iteration 83: flag=1, data=42
Iteration 84: flag=1, data=42
Iteration 85: flag=1, data=42
Iteration 86: flag=1, data=42
Iteration 87: flag=1, data=42
Iteration 88: flag=1, data=42
Iteration 89: flag=1, data=42
Iteration 90: flag=1, data=42
Iteration 91: flag=1, data=42
Iteration 92: flag=1, data=42
Iteration 93: flag=1, data=42
Iteration 94: flag=1, data=42
Iteration 95: flag=1, data=42
Iteration 96: flag=1, data=42
Iteration 97: flag=1, data=42
Iteration 98: flag=1, data=42
Iteration 99: flag=1, data=42
Iteration 100: flag=1, data=42
Iteration 101: flag=1, data=42
Iteration 102: flag=1, data=42
Iteration 103: flag=1, data=42
Iteration 104: flag=1, data=42
Iteration 105: flag=1, data=42
Iteration 106: flag=1, data=42
Iteration 107: flag=1, data=42
Iteration 108: flag=1, data=42
Iteration 109: flag=1, data=42
Iteration 110: flag=1, data=42
Iteration 111: flag=1, data=42
Iteration 112: flag=1, data=42
Iteration 113: flag=1, data=42
Iteration 114: flag=1, data=42
Iteration 115: flag=1, data=42
Iteration 116: flag=1, data=42
Iteration 117: flag=1, data=42
Iteration 118: flag=1, data=42
Iteration 119: flag=1, data=42
Iteration 120: flag=1, data=42
Iteration 121: flag=1, data=42
Iteration 122: flag=1, data=42
Iteration 123: flag=1, data=42
Iteration 124: flag=1, data=42
Iteration 125: flag=1, data=42
Iteration 126: flag=1, data=42
Iteration 127: flag=1, data=42
Iteration 128: flag=1, data=42
Iteration 129: flag=1, data=42
Iteration 130: flag=1, data=42
Iteration 131: flag=1, data=42
Iteration 132: flag=1, data=42
Iteration 133: flag=1, data=42
Iteration 134: flag=1, data=42
Iteration 135: flag=1, data=42
Iteration 136: flag=1, data=42
Iteration 137: flag=1, data=42
Iteration 138: flag=1, data=42
Iteration 139: flag=1, data=42
Iteration 140: flag=1, data=42
Iteration 141: flag=1, data=42
Iteration 142: flag=1, data=42
Iteration 143: flag=1, data=42
Iteration 144: flag=1, data=42
Iteration 145: flag=1, data=42
Iteration 146: flag=1, data=42
Iteration 147: flag=1, data=42
Iteration 148: flag=1, data=42
Iteration 149: flag=1, data=42
Iteration 150: flag=1, data=42
Iteration 151: flag=1, data=42
Iteration 152: flag=1, data=42
Iteration 153: flag=1, data=42
Iteration 154: flag=1, data=42
Iteration 155: flag=1, data=42
Iteration 156: flag=1, data=42
Iteration 157: flag=1, data=42
Iteration 158: flag=1, data=42
Iteration 159: flag=1, data=42
Iteration 160: flag=1, data=42
Iteration 161: flag=1, data=42
Iteration 162: flag=1, data=42
Iteration 163: flag=1, data=42
Iteration 164: flag=1, data=42
Iteration 165: flag=1, data=42
Iteration 166: flag=1, data=42
Iteration 167: flag=1, data=42
Iteration 168: flag=1, data=42
Iteration 169: flag=1, data=42
Iteration 170: flag=1, data=42
Iteration 171: flag=1, data=42
Iteration 172: flag=1, data=42
Iteration 173: flag=1, data=42
Iteration 174: flag=1, data=42
Iteration 175: flag=1, data=42
Iteration 176: flag=1, data=42
Iteration 177: flag=1, data=42
Iteration 178: flag=1, data=42
Iteration 179: flag=1, data=42
Iteration 180: flag=1, data=42
Iteration 181: flag=1, data=42
Iteration 182: flag=1, data=42
Iteration 183: flag=1, data=42
Iteration 184: flag=1, data=42
Iteration 185: flag=1, data=42
Iteration 186: flag=1, data=42
Iteration 187: flag=1, data=42
Iteration 188: flag=1, data=42
Iteration 189: flag=1, data=42
Iteration 190: flag=1, data=42
Iteration 191: flag=1, data=42
Iteration 192: flag=1, data=42
Iteration 193: flag=1, data=42
Iteration 194: flag=1, data=42
Iteration 195: flag=1, data=42
Iteration 196: flag=1, data=42
Iteration 197: flag=1, data=42
Iteration 198: flag=1, data=42
Iteration 199: flag=1, data=42
Iteration 200: flag=1, data=42
Iteration 201: flag=1, data=42
Iteration 202: flag=1, data=42
Iteration 203: flag=1, data=42
Iteration 204: flag=1, data=42
Iteration 205: flag=1, data=42
Iteration 206: flag=1, data=42
Iteration 207: flag=1, data=42
Iteration 208: flag=1, data=42
Iteration 209: flag=1, data=42
Iteration 210: flag=1, data=42
Iteration 211: flag=1, data=42
Iteration 212: flag=1, data=42
Iteration 213: flag=1, data=42
Iteration 214: flag=1, data=42
Iteration 215: flag=1, data=42
Iteration 216: flag=1, data=42
Iteration 217: flag=1, data=42
Iteration 218: flag=1, data=42
Iteration 219: flag=1, data=42
Iteration 220: flag=1, data=42
Iteration 221: flag=1, data=42
Iteration 222: flag=1, data=42
Iteration 223: flag=1, data=42
Iteration 224: flag=1, data=42
Iteration 225: flag=1, data=42
Iteration 226: flag=1, data=42
Iteration 227: flag=1, data=42
Iteration 228: flag=1, data=42
Iteration 229: flag=1, data=42
Iteration 230: flag=1, data=42
Iteration 231: flag=1, data=42
Iteration 232: flag=1, data=42
Iteration 233: flag=1, data=42
Iteration 234: flag=1, data=42
Iteration 235: flag=1, data=42
Iteration 236: flag=1, data=42
Iteration 237: flag=1, data=42
Iteration 238: flag=1, data=42
Iteration 239: flag=1, data=42
Iteration 240: flag=1, data=42
Iteration 241: flag=1, data=42
Iteration 242: flag=1, data=42
Iteration 243: flag=1, data=42
Iteration 244: flag=1, data=42
Iteration 245: flag=1, data=42
Iteration 246: flag=1, data=42
Iteration 247: flag=1, data=42
