Saving all results to benchmark_results.txt
Running hadamard_serial with N=10000, Trial=1
Running hadamard_serial with N=20000, Trial=1
Running hadamard_serial with N=30000, Trial=1
Running hadamard_omp_default with N=10000, Threads=1, Trial=1
Running hadamard_omp_default with N=10000, Threads=4, Trial=1
Running hadamard_omp_default with N=10000, Threads=8, Trial=1
Running hadamard_omp_default with N=10000, Threads=12, Trial=1
Running hadamard_omp_default with N=20000, Threads=1, Trial=1
Running hadamard_omp_default with N=20000, Threads=4, Trial=1
Running hadamard_omp_default with N=20000, Threads=8, Trial=1
Running hadamard_omp_default with N=20000, Threads=12, Trial=1
Running hadamard_omp_default with N=30000, Threads=1, Trial=1
Running hadamard_omp_default with N=30000, Threads=4, Trial=1
Running hadamard_omp_default with N=30000, Threads=8, Trial=1
Running hadamard_omp_default with N=30000, Threads=12, Trial=1
Running hadamard_omp_auto with N=10000, Threads=1, Trial=1
Running hadamard_omp_auto with N=10000, Threads=4, Trial=1
Running hadamard_omp_auto with N=10000, Threads=8, Trial=1
Running hadamard_omp_auto with N=10000, Threads=12, Trial=1
Running hadamard_omp_auto with N=20000, Threads=1, Trial=1
Running hadamard_omp_auto with N=20000, Threads=4, Trial=1
Running hadamard_omp_auto with N=20000, Threads=8, Trial=1
Running hadamard_omp_auto with N=20000, Threads=12, Trial=1
Running hadamard_omp_auto with N=30000, Threads=1, Trial=1
Running hadamard_omp_auto with N=30000, Threads=4, Trial=1
Running hadamard_omp_auto with N=30000, Threads=8, Trial=1
Running hadamard_omp_auto with N=30000, Threads=12, Trial=1
Running hadamard_omp_static with N=10000, Threads=1, Trial=1
Running hadamard_omp_static with N=10000, Threads=4, Trial=1
Running hadamard_omp_static with N=10000, Threads=8, Trial=1
Running hadamard_omp_static with N=10000, Threads=12, Trial=1
Running hadamard_omp_static with N=20000, Threads=1, Trial=1
Running hadamard_omp_static with N=20000, Threads=4, Trial=1
Running hadamard_omp_static with N=20000, Threads=8, Trial=1
Running hadamard_omp_static with N=20000, Threads=12, Trial=1
Running hadamard_omp_static with N=30000, Threads=1, Trial=1
Running hadamard_omp_static with N=30000, Threads=4, Trial=1
Running hadamard_omp_static with N=30000, Threads=8, Trial=1
Running hadamard_omp_static with N=30000, Threads=12, Trial=1
Running hadamard_omp_dynamic_1 with N=10000, Threads=1, Trial=1
Running hadamard_omp_dynamic_1 with N=10000, Threads=4, Trial=1
Running hadamard_omp_dynamic_1 with N=10000, Threads=8, Trial=1
Running hadamard_omp_dynamic_1 with N=10000, Threads=12, Trial=1
Running hadamard_omp_dynamic_1 with N=20000, Threads=1, Trial=1
Running hadamard_omp_dynamic_1 with N=20000, Threads=4, Trial=1
Running hadamard_omp_dynamic_1 with N=20000, Threads=8, Trial=1
Running hadamard_omp_dynamic_1 with N=20000, Threads=12, Trial=1
Running hadamard_omp_dynamic_1 with N=30000, Threads=1, Trial=1
Running hadamard_omp_dynamic_1 with N=30000, Threads=4, Trial=1
Running hadamard_omp_dynamic_1 with N=30000, Threads=8, Trial=1
Running hadamard_omp_dynamic_1 with N=30000, Threads=12, Trial=1
Running hadamard_omp_dynamic_4 with N=10000, Threads=1, Trial=1
Running hadamard_omp_dynamic_4 with N=10000, Threads=4, Trial=1
Running hadamard_omp_dynamic_4 with N=10000, Threads=8, Trial=1
Running hadamard_omp_dynamic_4 with N=10000, Threads=12, Trial=1
Running hadamard_omp_dynamic_4 with N=20000, Threads=1, Trial=1
Running hadamard_omp_dynamic_4 with N=20000, Threads=4, Trial=1
Running hadamard_omp_dynamic_4 with N=20000, Threads=8, Trial=1
Running hadamard_omp_dynamic_4 with N=20000, Threads=12, Trial=1
Running hadamard_omp_dynamic_4 with N=30000, Threads=1, Trial=1
Running hadamard_omp_dynamic_4 with N=30000, Threads=4, Trial=1
Running hadamard_omp_dynamic_4 with N=30000, Threads=8, Trial=1
Running hadamard_omp_dynamic_4 with N=30000, Threads=12, Trial=1
Running hadamard_omp_dynamic_8 with N=10000, Threads=1, Trial=1
Running hadamard_omp_dynamic_8 with N=10000, Threads=4, Trial=1
Running hadamard_omp_dynamic_8 with N=10000, Threads=8, Trial=1
Running hadamard_omp_dynamic_8 with N=10000, Threads=12, Trial=1
Running hadamard_omp_dynamic_8 with N=20000, Threads=1, Trial=1
Running hadamard_omp_dynamic_8 with N=20000, Threads=4, Trial=1
Running hadamard_omp_dynamic_8 with N=20000, Threads=8, Trial=1
Running hadamard_omp_dynamic_8 with N=20000, Threads=12, Trial=1
Running hadamard_omp_dynamic_8 with N=30000, Threads=1, Trial=1
Running hadamard_omp_dynamic_8 with N=30000, Threads=4, Trial=1
Running hadamard_omp_dynamic_8 with N=30000, Threads=8, Trial=1
Running hadamard_omp_dynamic_8 with N=30000, Threads=12, Trial=1
